faculty_id,name,institution_id,google_scholar_id
dishop_christopher,Christopher R. Dishop,auburn,VSTAif8AAAAJ
fan_jinyan,Jinyan Fan,auburn,OqjKABMAAAAJ
kunstman_jonathan,Jonathan W. Kunstman,auburn,sDvT1HMAAAAJ
lazarte_alejandro,Alejandro A. Lazarte,auburn,
michel_jesse,Jesse S. Michel,auburn,DwPB8h4AAAAJ
sawhney_gargi,Gargi Sawhney,auburn,-n9FF_MAAAAJ
svyantek_dan,Dan J. Svyantek,auburn,
watson_paige,Paige E. Watson,auburn,scnuEpwAAAAJ
foti_roseanne,Roseanne J. Foti,vt,3gTEOkYAAAAJ
chen_xiaowen,Xiaowen Chen,slu,
harvey_richard,Richard D. Harvey,slu,1TVmkmsAAAAJ
sabin_edward,Edward J. Sabin,slu,
mcgee_heather,Heather M. McGee,wmu,
martini_kate,Kate Martini,wmu,
rafacz_sharlet,Sharlet D. Rafacz,wmu,
vanhouten_ron,Ron Van Houten,wmu,6OWHfXAAAAAJ
sessa_valerie,Valerie I. Sessa,montclair,NqDo9IYAAAAJ
askew_kevin,Kevin Askew,montclair,
bixter_michael,Michael T. Bixter,montclair,QwuSiwEAAAAJ
bragger_jennifer,Jennifer D. Bragger,montclair,14Q_wJwAAAAJ
gonzalez_manuel,Manuel F. Gonzalez,montclair,WM-5inkAAAAJ
gray_cheryl,Cheryl E. Gray,montclair,dtJA5zcAAAAJ
digiovanni_ana,Ana M. DiGiovanni,montclair,y8Jmtu0AAAAJ
chebangore_yuliya,Yuliya Cheban-Gore,hofstra,_2_2JZUAAAAJ
grossman_rebecca,Rebecca Grossman,hofstra,s4feQ-wAAAAJ
nolan_kevin,Kevin P. Nolan,hofstra,
pindek_shani,Shani Pindek,hofstra,_rWzco8AAAAJ
salter_nicholas,Nicholas P. Salter,hofstra,csO4BBcAAAAJ
shahanidenning_comila,Comila Shahani-Denning,hofstra,EATozncAAAAJ
chung_helen,Helen Chung,spu,
collins_joey,Joey Collins,spu,
yost_paul,Paul R. Yost,spu,
block_caryn,Caryn J. Block,tc,ehtj-IYAAAAJ
coleman_peter,Peter T. Coleman,tc,vtAunVIAAAAJ
hewlin_patricia,Patricia Faison Hewlin,tc,omJHUc4AAAAJ
noumair_debra,Debra A. Noumair,tc,
perry_elissa,Elissa L. Perry,tc,S9W3XA8AAAAJ
westaby_james,James D. Westaby,tc,1CloGyAAAAAJ
kenworthy_jared,Jared B. Kenworthy,uta,z0AQMNEAAAAJ
martinez_larry,Larry R. Martinez,uta,4CYnkDYAAAAJ
smith_nicholas,Nicholas A. Smith,uta,
watts_logan,Logan L. Watts,uta,Wp0SaAsAAAAJ
martinraugh_michelle,Michelle P. Martín-Raugh,uta,lcfVb6EAAAAJ
chang_daisy,Chu-Hsiang (Daisy) Chang,msu,AVKtyvAAAAAJ
nye_christopher,Christopher D. Nye,msu,mubiyMIAAAAJ
hoff_kevin,Kevin A. Hoff,msu,fvfo6KwAAAAJ
sheets_tilman,Tilman L. Sheets,latech,qgFwdgEAAAAJ
toaddy_steven,Steven R. Toaddy,latech,
offermann_lynn,Lynn R. Offermann,gwu,
bisbey_tiffany,Tiffany M. Bisbey,gwu,qkRhEAYAAAAJ
peng_yisheng,Yisheng Peng,gwu,m1eZdgsAAAAJ
houlfort_nathalie,Nathalie Houlfort,uqam,HPgQ300AAAAJ
